entry_id,subarea_id,location,final_space_size,exposure,conf_l_notes,form_id
59662,490,110,20x30,Outside,We will provide a 20X20 tent.,111
61437,493,160,,,,120
60193,490,162,55X60,Outside,You will have the same setup as last year.,111
60013,542,1013,10x20 Corner,Outside under a large tent,Corner spot with two sides open,111
61467,498,2353,10x10 Corner,Inside,,145
59635,541,,Mobile,Outside,,111
61155,541,,Mobile,Mobile,Outside,111
61439,526,,,,,111
61540,541,,Mobile,Outside,,120
